,Date,Symbols,Close,High,Low,Open,Volume
126,2024-01-18,GM,34.58,35.36,34.32,35.3,22571837.0
127,2024-01-17,GM,35.01,35.21,34.73,34.83,15352760.0
128,2024-01-16,GM,35.39,35.58,34.62,34.73,18287234.0
129,2024-01-12,GM,35.26,36.12,35.2033,35.67,16651459.0
130,2024-01-11,GM,35.86,36.2487,35.61,36.11,14628237.0
131,2024-01-10,GM,36.31,36.62,35.995,36.57,16042615.0
132,2024-01-09,GM,36.54,36.73,36.19,36.35,13892790.0
133,2024-01-08,GM,36.7,36.85,35.82,35.83,13774769.0
134,2024-01-05,GM,35.99,36.61,35.44,35.51,15019201.0
135,2024-01-04,GM,35.49,35.9795,35.28,35.66,20138040.0
136,2024-01-03,GM,35.27,35.62,34.7,35.51,20308755.0
137,2024-01-02,GM,36.05,36.63,35.44,35.64,17501349.0
138,2023-12-29,GM,35.92,36.46,35.86,36.13,14127707.0
139,2023-12-28,GM,36.2,36.24,35.91,36.0,9719449.0
140,2023-12-27,GM,36.08,36.26,35.7,36.1,11128541.0
141,2023-12-26,GM,36.13,36.425,36.02,36.02,10733850.0
142,2023-12-22,GM,36.02,36.62,35.835,36.11,15027614.0
143,2023-12-21,GM,36.25,36.32,35.69,35.83,18421873.0
144,2023-12-20,GM,35.47,36.4,35.46,35.73,16585372.0
145,2023-12-19,GM,35.87,35.995,35.37,35.51,11875436.0
146,2023-12-18,GM,35.44,36.155,35.43,35.78,18151795.0
147,2023-12-15,GM,35.73,36.49,35.615,36.3,34158069.0
148,2023-12-14,GM,36.25,36.315,34.55,34.62,35593063.0
149,2023-12-13,GM,33.99,34.06,32.825,33.3,28807107.0
150,2023-12-12,GM,33.42,33.91,33.36,33.5,22492061.0
151,2023-12-11,GM,33.58,34.015,33.44,33.5,23314405.0
152,2023-12-08,GM,33.75,34.32,33.51,33.51,20280227.0
153,2023-12-07,GM,33.51,33.615,32.81,32.98,20158835.0
154,2023-12-06,GM,32.91,33.67,32.87,33.05,21736177.0
155,2023-12-05,GM,32.68,33.43,32.66,32.96,25717596.0
156,2023-12-04,GM,33.07,33.44,32.6,32.67,29590142.0
157,2023-12-01,GM,32.36,32.59,31.52,31.52,31661681.0
158,2023-11-30,GM,31.6,32.27,31.58,31.75,45236466.0
159,2023-11-29,GM,31.6,32.29,31.42,31.87,85193705.0
160,2023-11-28,GM,28.89,28.995,28.33,28.44,18156722.0
161,2023-11-27,GM,28.5,28.52,27.935,28.02,19878792.0
162,2023-11-24,GM,28.18,28.5025,28.12,28.17,6941407.0
163,2023-11-22,GM,28.1,28.35,27.835,28.06,11356786.0
164,2023-11-21,GM,27.9,28.57,27.7,28.25,19693519.0
165,2023-11-20,GM,28.52,28.77,28.14,28.18,19367745.0
166,2023-11-17,GM,28.03,28.03,27.53,27.86,19924917.0
167,2023-11-16,GM,27.48,28.19,27.415,27.93,16691958.0
168,2023-11-15,GM,28.14,28.2299,27.73,28.07,19628862.0
169,2023-11-14,GM,28.2,28.42,27.41,27.45,24219687.0
170,2023-11-13,GM,26.9,27.11,26.635,26.73,16394288.0
171,2023-11-10,GM,26.85,27.0,26.3,26.71,16951433.0
172,2023-11-09,GM,26.65,27.71,26.625,27.71,16045870.0
173,2023-11-08,GM,27.56,28.36,27.52,28.34,18282623.0
174,2023-11-07,GM,28.41,28.95,28.06,28.81,18254083.0
175,2023-11-06,GM,29.11,29.82,28.99,29.77,12409881.0
176,2023-11-03,GM,29.77,30.06,29.33,29.38,17424148.0
177,2023-11-02,GM,28.8,28.86,28.16,28.44,15531401.0
178,2023-11-01,GM,28.0,28.8,27.73,28.73,17363988.0
179,2023-10-31,GM,28.2,28.31,27.34,27.5,17507154.0
180,2023-10-30,GM,27.36,27.72,26.79,27.55,23227259.0
181,2023-10-27,GM,27.22,28.6299,27.12,28.49,25825614.0
182,2023-10-26,GM,28.55,30.22,28.43,29.81,22788190.0
183,2023-10-25,GM,29.01,29.14,27.71,28.55,24400382.0
184,2023-10-24,GM,28.56,29.78,28.01,28.39,26058061.0
185,2023-10-23,GM,29.22,29.9,29.21,29.33,17917713.0
186,2023-10-20,GM,29.66,30.245,29.45,29.88,21643505.0
187,2023-10-19,GM,29.33,29.96,29.06,29.1,18053815.0
188,2023-10-18,GM,29.48,29.9899,29.46,29.84,14318892.0
189,2023-10-17,GM,30.33,30.61,29.78,29.8,19812347.0
190,2023-10-16,GM,30.06,30.18,29.645,29.91,14711486.0
191,2023-10-13,GM,29.66,30.23,29.54,30.0,16720019.0
192,2023-10-12,GM,30.32,30.7,30.025,30.69,11355490.0
193,2023-10-11,GM,30.98,31.98,30.775,31.73,10673693.0
194,2023-10-10,GM,31.48,31.66,30.71,30.89,11985693.0
195,2023-10-09,GM,30.99,31.27,30.33,30.49,9111958.0
196,2023-10-06,GM,30.9,31.36,29.87,30.1,22422220.0
197,2023-10-05,GM,30.31,31.14,29.72,30.78,25255371.0
198,2023-10-04,GM,31.04,31.5,30.625,31.35,13412225.0
199,2023-10-03,GM,31.38,32.19,31.31,32.05,13060897.0
200,2023-10-02,GM,32.47,33.06,32.155,32.84,10966089.0
201,2023-09-29,GM,32.97,33.42,32.76,33.31,13587889.0
202,2023-09-28,GM,33.16,33.4,32.07,32.29,12673844.0
203,2023-09-27,GM,32.35,32.55,31.97,32.41,8339101.0
204,2023-09-26,GM,32.26,33.01,32.21,32.61,8250752.0
205,2023-09-25,GM,33.06,33.185,32.265,32.38,7283380.0
206,2023-09-22,GM,32.58,33.575,32.5,33.0,14271985.0
207,2023-09-21,GM,32.71,33.435,32.69,32.91,11342895.0
208,2023-09-20,GM,33.2,34.13,33.16,34.08,10815011.0
209,2023-09-19,GM,33.96,34.305,33.35,33.45,9548660.0
210,2023-09-18,GM,33.34,33.95,33.31,33.75,10471546.0
211,2023-09-15,GM,33.95,34.6,33.42,33.54,19709719.0
212,2023-09-14,GM,33.66,33.8001,33.035,33.6,11797253.0
213,2023-09-13,GM,33.66,34.295,33.43,33.94,14287398.0
214,2023-09-12,GM,33.47,33.77,32.76,32.76,15578357.0
215,2023-09-11,GM,32.62,33.27,32.5,33.08,11776956.0
216,2023-09-08,GM,32.95,33.13,32.54,32.6,12122382.0
217,2023-09-07,GM,32.57,32.615,32.015,32.41,12291805.0
218,2023-09-06,GM,32.82,33.405,32.53,33.05,11731913.0
219,2023-09-05,GM,33.28,33.48,33.03,33.36,9169640.0
220,2023-09-01,GM,33.54,33.84,33.26,33.59,8804755.0
221,2023-08-31,GM,33.51,34.035,33.2924,33.51,10168385.0
222,2023-08-30,GM,33.39,33.7,33.35,33.46,7856506.0
223,2023-08-29,GM,33.46,33.51,33.08,33.22,7511924.0
224,2023-08-28,GM,33.12,33.45,32.93,33.26,7393485.0
225,2023-08-25,GM,32.95,33.3,32.05,33.07,14298021.0
226,2023-08-24,GM,32.88,33.58,32.755,33.4,7875615.0
227,2023-08-23,GM,33.56,33.57,32.76,32.84,10262686.0
228,2023-08-22,GM,32.93,33.48,32.85,33.47,8634597.0
229,2023-08-21,GM,33.27,33.41,32.975,33.25,10766081.0
230,2023-08-18,GM,33.12,33.2,32.5737,32.58,11779936.0
231,2023-08-17,GM,32.92,33.33,32.76,33.07,11476100.0
232,2023-08-16,GM,32.82,33.2845,32.705,33.15,15254581.0
233,2023-08-15,GM,33.3,33.78,33.22,33.6,13365835.0
234,2023-08-14,GM,34.07,34.205,33.42,33.45,15853797.0
235,2023-08-11,GM,33.89,34.17,33.42,34.03,20519851.0
236,2023-08-10,GM,34.16,36.36,34.0,36.3,25601476.0
237,2023-08-09,GM,36.26,36.805,36.21,36.5,8254516.0
238,2023-08-08,GM,36.84,36.875,36.1,36.28,10281727.0
239,2023-08-07,GM,37.09,37.1,36.36,36.83,9910696.0
240,2023-08-04,GM,36.57,37.09,36.37,36.85,12408885.0
241,2023-08-03,GM,36.92,37.19,36.63,37.19,14760630.0
242,2023-08-02,GM,37.39,37.83,37.26,37.63,15524075.0
243,2023-08-01,GM,38.12,38.36,37.9,38.04,10236209.0
244,2023-07-31,GM,38.37,38.37,37.8,38.15,12142374.0
245,2023-07-28,GM,38.05,38.98,37.735,38.75,17483140.0
246,2023-07-27,GM,38.97,39.445,38.53,38.73,17589276.0
247,2023-07-26,GM,38.29,38.4474,37.64,37.96,15673473.0
248,2023-07-25,GM,37.92,38.78,37.11,37.73,30599145.0
249,2023-07-24,GM,39.3,39.48,38.76,38.87,18209182.0
250,2023-07-21,GM,38.55,39.67,38.34,39.64,13621877.0
251,2023-07-20,GM,39.26,39.325,38.715,38.97,10626412.0
252,2023-07-19,GM,39.23,39.58,39.16,39.3,12775317.0
253,2023-07-18,GM,39.13,39.19,38.55,38.74,13306942.0
254,2023-07-17,GM,38.75,39.54,38.51,39.48,16142976.0
255,2023-07-14,GM,40.0,40.7,39.935,40.61,11047653.0
256,2023-07-13,GM,40.5,41.04,40.41,40.72,12446370.0
257,2023-07-12,GM,40.41,40.97,40.38,40.84,14534201.0
258,2023-07-11,GM,39.97,40.1,39.155,39.57,11399551.0
259,2023-07-10,GM,39.64,39.75,39.19,39.58,10507328.0
260,2023-07-07,GM,39.61,39.98,39.315,39.54,10608473.0
261,2023-07-06,GM,39.46,39.47,38.6,38.92,13111858.0
262,2023-07-05,GM,39.42,39.54,38.91,39.1,12119180.0
263,2023-07-03,GM,38.96,39.14,38.63,38.74,5578339.0
264,2023-06-30,GM,38.56,38.86,38.002,38.31,11613686.0
265,2023-06-29,GM,38.2,38.62,38.0,38.33,10460347.0
266,2023-06-28,GM,38.19,38.21,37.41,37.5,12882140.0
267,2023-06-27,GM,37.48,37.515,36.45,37.01,9125220.0
268,2023-06-26,GM,36.7,36.99,36.03,36.03,11904880.0
269,2023-06-23,GM,36.18,36.44,35.8,35.93,10201824.0
270,2023-06-22,GM,36.66,36.955,36.36,36.78,8618380.0
271,2023-06-21,GM,37.01,37.31,36.88,37.31,9085812.0
272,2023-06-20,GM,37.32,37.84,36.915,37.7,14381934.0
273,2023-06-16,GM,37.96,38.25,37.65,38.12,14523171.0
274,2023-06-15,GM,38.03,38.26,37.18,37.19,15692521.0
275,2023-06-14,GM,37.36,37.9676,37.04,37.84,14879209.0
276,2023-06-13,GM,37.65,37.84,36.96,36.96,16449940.0
277,2023-06-12,GM,36.67,37.02,36.26,36.27,14903484.0
278,2023-06-09,GM,36.23,38.1653,36.225,37.49,24318871.0
279,2023-06-08,GM,35.85,36.4427,35.68,36.2,16196094.0
280,2023-06-07,GM,36.22,36.46,35.225,35.39,23167166.0
281,2023-06-06,GM,35.24,35.38,33.98,34.0,15596897.0
282,2023-06-05,GM,34.13,34.45,33.66,34.45,9037015.0
283,2023-06-02,GM,34.28,34.48,33.47,33.66,15316570.0
284,2023-06-01,GM,33.02,33.3,32.135,32.49,12466746.0
285,2023-05-31,GM,32.41,33.045,31.86,32.95,17934198.0
286,2023-05-30,GM,33.36,34.275,33.315,33.7,12671702.0
287,2023-05-26,GM,33.29,33.49,32.3501,32.62,13656812.0
288,2023-05-25,GM,32.41,32.635,32.13,32.16,10492689.0
289,2023-05-24,GM,32.28,33.04,32.01,33.0,13357549.0
290,2023-05-23,GM,33.42,33.835,32.94,33.0,17717949.0
291,2023-05-22,GM,32.86,32.93,32.39,32.71,8866444.0
292,2023-05-19,GM,32.66,33.17,32.495,33.12,12603859.0
293,2023-05-18,GM,32.9,32.955,32.25,32.28,14241002.0
294,2023-05-17,GM,32.44,32.59,31.635,31.81,11269494.0
295,2023-05-16,GM,31.54,32.24,31.5,32.06,11069637.0
296,2023-05-15,GM,32.37,32.47,32.12,32.39,18841111.0
297,2023-05-12,GM,32.4,33.285,32.13,33.25,13035454.0
298,2023-05-11,GM,33.12,33.285,32.845,32.85,12319464.0
299,2023-05-10,GM,33.08,33.97,32.605,33.87,15418390.0
300,2023-05-09,GM,33.28,33.57,33.06,33.32,11841912.0
301,2023-05-08,GM,33.66,33.74,33.13,33.39,11267406.0
302,2023-05-05,GM,33.26,33.395,32.21,32.32,17191054.0
303,2023-05-04,GM,31.69,32.67,31.56,32.3,14807411.0
304,2023-05-03,GM,32.48,33.39,32.37,32.76,13494376.0
305,2023-05-02,GM,33.08,33.41,32.51,33.2,14527642.0
306,2023-05-01,GM,33.48,34.2796,33.435,34.0,16892295.0
307,2023-04-28,GM,33.04,33.3,32.41,32.42,15510696.0
308,2023-04-27,GM,32.72,32.82,31.835,32.36,19730065.0
309,2023-04-26,GM,32.22,33.12,32.08,32.9,18780858.0
310,2023-04-25,GM,32.91,34.08,32.68,33.99,34044430.0
311,2023-04-24,GM,34.29,34.4,33.56,33.77,16836770.0
312,2023-04-21,GM,33.55,33.77,32.97,33.53,12358741.0
313,2023-04-20,GM,33.54,33.73,32.84,33.28,15294822.0
314,2023-04-19,GM,34.58,34.88,34.22,34.87,11002267.0
315,2023-04-18,GM,35.33,35.57,35.07,35.45,9444629.0
316,2023-04-17,GM,35.14,35.15,34.33,34.38,10248858.0
317,2023-04-14,GM,34.49,35.29,34.25,34.75,9162851.0
318,2023-04-13,GM,34.53,34.69,33.72,34.56,16066192.0
319,2023-04-12,GM,34.62,36.06,34.525,35.99,12027411.0
320,2023-04-11,GM,35.41,35.965,35.34,35.88,16410484.0
321,2023-04-10,GM,35.73,35.74,34.26,34.35,11530435.0
322,2023-04-06,GM,34.59,35.09,34.47,35.0,10068149.0
323,2023-04-05,GM,35.09,35.38,34.4,35.27,10949436.0
324,2023-04-04,GM,35.74,36.54,35.29,36.51,11279945.0
325,2023-04-03,GM,36.27,36.815,35.995,36.38,10887916.0
326,2023-03-31,GM,36.68,36.72,36.13,36.27,10872663.0
327,2023-03-30,GM,35.99,36.48,35.865,36.25,9300180.0
328,2023-03-29,GM,35.7,35.73,34.71,34.89,13290047.0
329,2023-03-28,GM,34.22,34.65,34.05,34.46,12214217.0
330,2023-03-27,GM,34.45,34.54,33.7524,34.32,11318411.0
331,2023-03-24,GM,33.71,33.78,32.985,33.46,11914348.0
332,2023-03-23,GM,33.74,34.7603,33.175,34.37,12585433.0
333,2023-03-22,GM,34.05,35.32,34.03,35.13,12929700.0
334,2023-03-21,GM,35.1,35.32,34.46,34.63,13685142.0
335,2023-03-20,GM,33.62,34.25,33.2674,33.45,14938791.0
336,2023-03-17,GM,33.38,34.28,33.12,34.28,27743505.0
337,2023-03-16,GM,34.61,34.92,33.76,33.85,23888078.0
338,2023-03-15,GM,34.33,34.62,33.63,34.61,17992055.0
339,2023-03-14,GM,35.6,36.67,35.075,36.46,18938244.0
340,2023-03-13,GM,35.76,36.31,34.86,35.62,21584242.0
341,2023-03-10,GM,36.52,37.775,36.26,37.7,14139401.0
342,2023-03-09,GM,37.82,39.7,37.76,39.52,15604070.0
343,2023-03-08,GM,39.76,40.02,39.37,39.7,10674833.0
344,2023-03-07,GM,39.74,40.43,39.62,40.22,12126935.0
345,2023-03-06,GM,40.45,41.19,40.2519,41.02,9809967.0
346,2023-03-03,GM,41.01,41.35,40.25,40.39,13429737.0
347,2023-03-02,GM,39.53,39.56,38.12,38.405,12914274.0
348,2023-03-01,GM,38.72,39.33,38.64,38.68,14164837.0
349,2023-02-28,GM,38.74,39.245,38.495,39.21,17166695.0
350,2023-02-27,GM,39.31,40.01,39.14,39.53,17310617.0
351,2023-02-24,GM,39.18,39.32,38.46,38.91,12929634.0
352,2023-02-23,GM,39.25,41.26,38.87,41.05,19930732.0
353,2023-02-22,GM,40.89,41.47,40.63,41.23,9870027.0
354,2023-02-21,GM,41.13,43.08,41.09,42.43,12320063.0
355,2023-02-17,GM,43.17,43.17,42.19,43.0,13034085.0
356,2023-02-16,GM,43.1,43.63,42.225,42.39,14549570.0
357,2023-02-15,GM,42.95,42.98,42.05,42.14,11660846.0
358,2023-02-14,GM,42.43,42.73,41.69,41.7,13012388.0
359,2023-02-13,GM,42.02,42.08,40.7209,40.73,12854771.0
360,2023-02-10,GM,41.35,41.625,40.96,41.24,11447449.0
361,2023-02-09,GM,41.63,42.985,41.49,42.09,20848917.0
362,2023-02-08,GM,41.57,42.1,40.9837,41.08,12318527.0
363,2023-02-07,GM,41.4,41.775,40.74,41.26,11542460.0
364,2023-02-06,GM,41.34,41.61,40.765,40.9,14285742.0
365,2023-02-03,GM,41.13,41.985,40.31,40.65,18566705.0
366,2023-02-02,GM,41.5,42.05,39.92,40.28,28757036.0
367,2023-02-01,GM,39.3,39.84,38.56,39.45,25569532.0
368,2023-01-31,GM,39.32,39.7299,38.33,38.93,47396263.0
369,2023-01-30,GM,36.29,37.275,36.22,36.75,23596768.0
370,2023-01-27,GM,37.95,38.24,36.44,36.58,21995378.0
371,2023-01-26,GM,36.48,37.18,36.23,36.99,19558993.0
372,2023-01-25,GM,36.32,36.55,35.38,35.99,13715601.0
373,2023-01-24,GM,36.2,36.66,35.82,36.0,12072103.0
374,2023-01-23,GM,36.44,36.595,35.5275,35.685,17001893.0
375,2023-01-20,GM,35.35,36.01,35.285,35.68,17187157.0
376,2023-01-19,GM,35.73,36.02,35.13,35.65,11403615.0
377,2023-01-18,GM,36.44,37.53,36.425,37.06,11322680.0
378,2023-01-17,GM,36.61,37.14,36.21,36.5,13916053.0
379,2023-01-13,GM,36.51,36.73,35.805,36.48,21242759.0
380,2023-01-12,GM,38.33,38.61,37.83,38.14,15318469.0
381,2023-01-11,GM,37.82,38.11,37.15,37.35,15190326.0
382,2023-01-10,GM,37.11,37.14,35.895,36.14,10280416.0
383,2023-01-09,GM,35.92,36.84,35.845,36.53,11617948.0
384,2023-01-06,GM,35.91,36.005,34.55,34.69,9783503.0
385,2023-01-05,GM,35.0,35.435,34.12,34.2,11932042.0
386,2023-01-04,GM,34.69,34.945,34.09,34.29,11326255.0
387,2023-01-03,GM,33.82,34.34,33.395,34.015,11793319.0
388,2022-12-30,GM,33.64,33.755,33.23,33.33,11807418.0
389,2022-12-29,GM,33.67,33.675,32.82,32.82,11634864.0
390,2022-12-28,GM,32.53,33.5,32.515,33.32,9550913.0
391,2022-12-27,GM,33.32,33.75,33.02,33.52,9984440.0
392,2022-12-23,GM,33.83,33.88,33.18,33.68,10619117.0
393,2022-12-22,GM,33.53,35.18,33.28,35.17,20229777.0
394,2022-12-21,GM,35.9,36.035,35.47,35.72,9959851.0
395,2022-12-20,GM,35.2,35.585,34.78,35.26,10934298.0
396,2022-12-19,GM,35.42,36.4,35.36,36.28,12247974.0
397,2022-12-16,GM,36.15,37.2,35.87,37.03,27530543.0
398,2022-12-15,GM,37.62,37.803,37.19,37.79,11295140.0
399,2022-12-14,GM,38.36,39.09,37.9601,38.74,11964569.0
400,2022-12-13,GM,38.77,40.01,38.53,39.66,12154529.0
401,2022-12-12,GM,38.49,38.67,38.0155,38.32,13873186.0
402,2022-12-09,GM,38.28,38.555,37.78,37.85,8865477.0
403,2022-12-08,GM,38.2,38.26,37.6,38.07,8622465.0
404,2022-12-07,GM,37.96,38.33,37.56,37.665,11613837.0
405,2022-12-06,GM,38.02,39.09,37.35,38.93,12775523.0
406,2022-12-05,GM,38.79,39.62,38.685,39.47,7633233.0
407,2022-12-02,GM,39.9,40.14,39.55,39.86,9224083.0
408,2022-12-01,GM,40.43,41.38,40.415,40.77,12335116.0
