,Date,Symbols,Close,High,Low,Open,Volume
34,2024-05-30,TSLA,178.79,182.67,175.38,178.575,77784755
35,2024-05-29,TSLA,176.19,178.15,173.93,174.19,54782649
36,2024-05-28,TSLA,176.75,178.25,173.16,176.4,59736620
37,2024-05-24,TSLA,179.24,180.08,173.73,174.835,65584478
38,2024-05-23,TSLA,173.74,181.9,173.26,181.8,71975496
39,2024-05-22,TSLA,180.11,183.8,178.12,182.85,88313477
40,2024-05-21,TSLA,186.6,186.875,174.71,175.51,115266512
41,2024-05-20,TSLA,174.95,177.754,173.52,177.56,61727425
42,2024-05-17,TSLA,177.46,179.63,172.75,173.55,77445845
43,2024-05-16,TSLA,174.84,175.79,171.43,174.1,59812220
44,2024-05-15,TSLA,173.99,180.0,173.11,179.9,79662993
45,2024-05-14,TSLA,177.55,179.49,174.07,174.4959,86407422
46,2024-05-13,TSLA,171.89,175.4,169.0,170.0,67018903
47,2024-05-10,TSLA,168.47,173.0599,167.75,173.05,72627178
48,2024-05-09,TSLA,171.97,175.62,171.37,175.01,65950292
49,2024-05-08,TSLA,174.72,176.06,170.15,171.59,79969488
50,2024-05-07,TSLA,177.81,183.26,177.4,182.4,75045854
51,2024-05-06,TSLA,184.76,187.56,182.2,183.8,84390253
52,2024-05-03,TSLA,181.19,184.78,178.42,182.1,75491539
53,2024-05-02,TSLA,180.01,184.6,176.02,182.86,89148041
54,2024-05-01,TSLA,179.99,185.86,179.01,182.0,92829719
55,2024-04-30,TSLA,183.28,190.95,182.8401,186.98,127031787
56,2024-04-29,TSLA,194.05,198.87,184.54,188.42,243869678
57,2024-04-26,TSLA,168.29,172.12,166.37,168.85,109815725
58,2024-04-25,TSLA,170.18,170.88,158.36,158.96,126427521
59,2024-04-24,TSLA,162.13,167.97,157.51,162.84,181178020
60,2024-04-23,TSLA,144.68,147.26,141.11,143.33,124545104
61,2024-04-22,TSLA,142.05,144.44,138.8025,140.56,107097564
62,2024-04-19,TSLA,147.0101,150.94,146.22,148.97,86868117
63,2024-04-18,TSLA,149.93,152.2,148.7,151.25,96098830
64,2024-04-17,TSLA,155.45,158.33,153.78,157.64,82439718
65,2024-04-16,TSLA,157.11,158.19,153.75,156.742,96999956
66,2024-04-15,TSLA,161.48,170.69,161.38,170.24,100245310
67,2024-04-12,TSLA,171.05,173.8099,170.3644,172.34,64722669
68,2024-04-11,TSLA,174.6,175.88,168.51,172.55,94515987
69,2024-04-10,TSLA,171.76,174.93,170.01,173.04,84532407
70,2024-04-09,TSLA,176.88,179.22,171.92,172.91,103232675
71,2024-04-08,TSLA,172.98,174.5,167.79,169.34,104423320
72,2024-04-05,TSLA,164.9,170.86,160.51,169.08,143157603
73,2024-04-04,TSLA,171.11,177.19,168.01,170.07,123161960
74,2024-04-03,TSLA,168.38,168.82,163.28,164.02,82950141
75,2024-04-02,TSLA,166.63,167.69,163.43,164.75,116650594
76,2024-04-01,TSLA,175.22,176.75,170.21,176.17,81562127
77,2024-03-28,TSLA,175.79,179.57,175.3,177.45,77654838
78,2024-03-27,TSLA,179.83,181.91,176.0,181.41,81804043
79,2024-03-26,TSLA,177.67,184.25,177.38,178.58,113186227
80,2024-03-25,TSLA,172.63,175.24,168.73,168.76,74228615
81,2024-03-22,TSLA,170.83,171.2,166.3,166.69,75580637
82,2024-03-21,TSLA,172.82,178.18,171.8,176.39,73178014
83,2024-03-20,TSLA,175.66,176.25,170.82,173.0,83846726
84,2024-03-19,TSLA,171.32,172.82,167.42,172.36,77271428
85,2024-03-18,TSLA,173.8,174.72,165.9,170.02,108214358
86,2024-03-15,TSLA,163.57,165.1845,160.76,163.16,97146832
87,2024-03-14,TSLA,162.5,171.17,160.51,167.77,126325696
88,2024-03-13,TSLA,169.48,176.05,169.15,173.05,106524518
89,2024-03-12,TSLA,177.54,179.43,172.4101,177.77,87391684
90,2024-03-11,TSLA,177.77,182.87,174.8,175.445,85391528
91,2024-03-08,TSLA,175.34,182.73,174.7,181.5,85544644
92,2024-03-07,TSLA,178.65,180.04,173.7,174.35,102129004
93,2024-03-06,TSLA,176.54,181.576,173.7,179.99,107920944
94,2024-03-05,TSLA,180.74,184.59,177.57,183.05,119660758
95,2024-03-04,TSLA,188.14,199.75,186.72,198.73,134334869
96,2024-03-01,TSLA,202.64,204.52,198.5,200.52,82243119
97,2024-02-29,TSLA,201.88,205.28,198.4463,204.18,85906974
98,2024-02-28,TSLA,202.04,205.3,198.44,200.42,99806173
99,2024-02-27,TSLA,199.73,205.6,198.26,204.04,108645412
100,2024-02-26,TSLA,199.4,201.78,192.0,192.29,111747116
101,2024-02-23,TSLA,191.97,197.57,191.5,195.31,78841917
102,2024-02-22,TSLA,197.41,198.32,191.36,194.0,92739461
103,2024-02-21,TSLA,194.77,199.44,191.95,193.36,103844008
